Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,High Inside,-0.141,1.239,-19.502,-0.239,1.314,-19.502,0.123,-0.139,1.262,-19.485,-0.162,1.299,-19.434,0.067,Ball,Take
Sub_Test01,2,Active_Noise,Straight,High Inside,-0.121,1.204,-19.481,-0.140,1.006,-19.481,0.198,-0.092,1.183,-19.478,-0.080,1.184,-19.444,0.036,Strike_Missed,Take
Sub_Test01,3,Active_Noise,Straight,High Inside,-0.101,1.161,-19.476,-0.017,1.136,-19.476,0.088,-0.094,1.156,-19.473,-0.049,1.175,-19.433,0.063,Strike,Take
Sub_Test01,4,Active_Noise,Straight,High Inside,-0.079,1.158,-19.466,-0.088,1.332,-19.466,0.174,-0.080,1.160,-19.474,-0.088,1.266,-19.425,0.117,Ball,Take
Sub_Test01,5,Active_Noise,Straight,High Inside,-0.084,1.137,-19.474,-0.117,0.937,-19.474,0.202,-0.091,1.154,-19.481,-0.066,1.177,-19.431,0.061,Strike_Missed,Take
Sub_Test01,6,Active_Noise,Straight,High Inside,-0.095,1.163,-19.500,0.109,1.032,-19.500,0.242,-0.100,1.180,-19.499,0.041,1.171,-19.443,0.153,Strike,Take
Sub_Test01,7,Active_Noise,Straight,High Inside,-0.136,1.197,-19.517,-0.053,0.983,-19.517,0.230,-0.124,1.190,-19.542,-0.020,1.112,-19.438,0.167,Strike_Missed,Take
Sub_Test01,8,Active_Noise,Straight,High Inside,-0.100,1.172,-19.517,0.018,1.180,-19.517,0.118,-0.127,1.173,-19.603,-0.004,1.154,-19.505,0.158,Strike,Take
Sub_Test01,9,Active_Noise,Straight,High Inside,-0.131,1.185,-19.623,0.007,1.088,-19.623,0.168,-0.138,1.177,-19.637,-0.046,0.987,-19.754,0.241,Strike_Missed,Take
Sub_Test01,10,Active_Noise,Straight,Mid Inside,-0.081,0.981,-19.814,-0.071,0.979,-19.814,0.011,-0.164,1.168,-19.551,-0.098,1.076,-19.502,0.123,Strike_Missed,Take
Sub_Test01,11,Active_Noise,Straight,High Inside,-0.160,1.204,-19.544,-0.165,1.437,-19.544,0.234,-0.169,1.202,-19.546,-0.166,1.152,-19.520,0.056,Ball_Missed,Take
Sub_Test01,12,Active_Noise,Straight,High Inside,-0.175,1.257,-19.554,-0.312,1.334,-19.554,0.157,-0.090,1.188,-19.514,-0.159,1.261,-19.424,0.135,Ball_Missed,Take
