Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Pitch_Speed_Kmph,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,157.9,High Inside,-0.12,1.289,-19.857,-0.081,1.238,-19.857,0.064,-0.138,1.292,-19.866,-0.147,1.292,-19.854,0.015,Strike_Missed,Take
Sub_Test01,2,Active_Noise,Straight,157.6,High Inside,-0.147,1.289,-19.851,-0.189,1.294,-19.851,0.042,-0.146,1.286,-19.844,-0.128,1.201,-19.794,0.101,Strike,Take
Sub_Test01,3,Active_Noise,Straight,153.6,High Inside,-0.158,1.281,-19.831,-0.101,1.087,-19.831,0.203,-0.163,1.282,-19.829,-0.156,1.278,-19.828,0.008,Strike,Take
Sub_Test01,4,Active_Noise,Straight,154.1,High Inside,-0.156,1.276,-19.831,-0.031,1.069,-19.831,0.242,-0.159,1.274,-19.83,-0.118,1.227,-19.811,0.065,Strike,Take
Sub_Test01,5,Active_Noise,Straight,154.2,High Inside,-0.163,1.273,-19.83,-0.158,1.027,-19.83,0.246,-0.167,1.268,-19.824,-0.155,1.249,-19.821,0.023,Strike_Missed,Take
Sub_Test01,6,Active_Noise,Straight,157.1,High Inside,-0.159,1.26,-19.828,-0.137,1.401,-19.828,0.143,-0.157,1.263,-19.819,-0.129,1.24,-19.805,0.038,Ball_PassedBall,Take
Sub_Test01,7,Active_Noise,Straight,155.6,High Inside,-0.163,1.224,-19.808,-0.36,1.245,-19.808,0.198,-0.161,1.235,-19.814,-0.19,1.425,-19.798,0.193,Ball_Missed,Take
Sub_Test01,8,Active_Noise,Straight,153.1,High Inside,-0.177,1.223,-19.818,-0.374,1.358,-19.818,0.24,-0.175,1.237,-19.813,-0.269,1.293,-19.805,0.109,Ball_PassedBall,Take
Sub_Test01,9,Active_Noise,Straight,156.2,High Inside,-0.174,1.247,-19.814,-0.156,1.484,-19.814,0.238,-0.19,1.247,-19.817,-0.161,1.226,-19.82,0.036,Ball_Missed,Take
Sub_Test01,10,Active_Noise,Straight,154.3,High Inside,-0.164,1.251,-19.82,-0.355,1.207,-19.82,0.196,-0.203,1.257,-19.815,-0.262,1.352,-19.758,0.126,Ball_Missed,Take
Sub_Test01,11,Active_Noise,Straight,157.7,High Inside,-0.196,1.245,-19.809,-0.203,1.008,-19.809,0.237,-0.207,1.244,-19.812,-0.331,1.253,-19.832,0.126,Strike_Missed,Take
Sub_Test01,12,Active_Noise,Straight,156.7,High Inside,-0.171,1.234,-19.798,-0.291,1.023,-19.798,0.243,-0.199,1.239,-19.812,-0.284,1.247,-19.796,0.086,Ball_Missed,Take
Sub_Test01,13,Active_Noise,Straight,155.8,High Inside,-0.173,1.241,-19.822,-0.001,1.162,-19.822,0.19,-0.192,1.224,-19.811,-0.099,1.21,-19.755,0.11,Strike,Take
Sub_Test01,14,Active_Noise,Straight,155.4,Mid Inside,-0.18,1.096,-19.845,-0.283,1.11,-19.845,0.104,-0.183,1.071,-19.836,-0.259,1.165,-19.807,0.125,Ball_PassedBall,Take
Sub_Test01,15,Active_Noise,Straight,153.6,Mid Inside,-0.193,1.052,-19.832,-0.088,0.984,-19.832,0.124,-0.177,1.04,-19.836,-0.126,0.958,-19.822,0.098,Strike_PassedBall,Take
Sub_Test01,16,Active_Noise,Straight,155.1,Mid Inside,-0.177,1.054,-19.825,0.005,0.944,-19.825,0.212,-0.184,1.038,-19.823,-0.043,0.894,-19.833,0.202,Strike_PassedBall,Take
Sub_Test01,17,Active_Noise,Straight,156.5,Mid Inside,-0.179,1.057,-19.822,-0.352,1.036,-19.822,0.174,-0.189,1.046,-19.815,-0.307,1.067,-19.792,0.122,Ball,Take
