Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Pitch_Speed_Kmph,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Sinker,140.9,Mid-Low Inside Ball,-0.264,0.862,-19.713,-0.262,0.859,-19.713,0.004,-0.250,0.834,-19.701,-0.254,0.820,-19.705,0.015,Strike,Take
Sub_Test01,2,Active_Noise,Cutter,144.9,Mid-Low Outside Ball,0.258,0.844,-19.755,0.256,0.841,-19.755,0.003,0.263,0.837,-19.751,0.253,0.820,-19.750,0.020,Strike,Take
Sub_Test01,3,Active_Noise,Slatter,137.2,Low Inside Center Ball,-0.089,0.595,-19.766,-0.091,0.592,-19.766,0.004,-0.098,0.589,-19.779,-0.100,0.588,-19.780,0.003,Strike,Take
Sub_Test01,4,Active_Noise,DCurve,111.2,Low Inside Center Ball,-0.095,0.589,-19.781,-0.108,0.607,-19.781,0.022,-0.101,0.592,-19.778,-0.104,0.593,-19.779,0.003,Strike,Take
Sub_Test01,5,Active_Noise,KnuckleCurve,124.8,Mid-Low Outside Ball,0.237,0.775,-19.787,0.232,0.772,-19.787,0.005,0.229,0.777,-19.782,0.236,0.745,-19.788,0.034,Strike,Take
Sub_Test01,6,Active_Noise,Fork,131.3,Low Inside Center Ball,-0.173,0.500,-19.690,-0.173,0.497,-19.690,0.003,-0.165,0.535,-19.689,-0.176,0.534,-19.697,0.014,Strike,Take
Sub_Test01,7,Active_Noise,SlidePalm,113.5,Low Outside Ball,0.240,0.665,-19.801,0.241,0.659,-19.801,0.006,0.231,0.671,-19.797,0.236,0.665,-19.803,0.010,Strike,Take
Sub_Test01,8,Active_Noise,Eephus,57.8,Low Inside Center Ball,-0.159,0.631,-19.762,-0.159,0.620,-19.762,0.011,-0.154,0.632,-19.759,-0.157,0.643,-19.764,0.012,Strike_PassedBall,Take
Sub_Test01,9,Active_Noise,Shoot,140.2,Mid-Low Inside Ball,-0.276,0.825,-19.712,-0.277,0.822,-19.712,0.003,-0.272,0.834,-19.716,-0.263,0.823,-19.718,0.015,Strike_PassedBall,Take
Sub_Test01,10,Active_Noise,Sweeper,127.7,Mid-Low Outside Ball,0.338,0.880,-19.824,0.331,0.880,-19.824,0.006,0.336,0.882,-19.824,0.328,0.884,-19.820,0.010,Strike,Take
Sub_Test01,11,Active_Noise,VSlider,130.6,Low Outside Center Ball,0.087,0.492,-19.759,0.081,0.492,-19.759,0.007,0.088,0.525,-19.763,0.089,0.527,-19.754,0.009,Ball,Take
Sub_Test01,12,Active_Noise,SpikeCurve,120.5,Low Inside Center Ball,-0.137,0.710,-19.733,-0.143,0.708,-19.733,0.006,-0.126,0.712,-19.733,-0.129,0.707,-19.737,0.007,Strike,Take
Sub_Test01,13,Active_Noise,Knuckle,104.2,Low Outside,0.122,0.788,-19.745,0.050,0.668,-19.745,0.140,0.121,0.788,-19.764,0.013,0.777,-19.736,0.112,Strike,Take
Sub_Test01,14,Active_Noise,CircleChange,120.8,High Inside,-0.174,1.187,-19.655,1.251,-10.802,-19.655,12.073,-0.127,0.925,-19.761,-0.179,1.126,-19.692,0.219,Strike,Take
Sub_Test01,15,Active_Noise,Palm,106.8,Low Inside,-0.164,0.804,-19.698,-0.165,0.801,-19.698,0.003,-0.162,0.802,-19.689,-0.179,0.785,-19.691,0.024,Strike,Take
Sub_Test01,16,Active_Noise,VulcanChange,127.4,Low Outside,0.137,0.802,-19.791,0.136,0.798,-19.791,0.004,0.148,0.806,-19.783,0.119,0.773,-19.772,0.045,Strike,Take
Sub_Test01,17,Active_Noise,SlidePalm,111.2,Low Center Ball,-0.054,0.675,-19.810,-0.053,0.671,-19.810,0.004,-0.046,0.693,-19.802,-0.055,0.680,-19.802,0.016,Strike,Take
Sub_Test01,18,Active_Noise,ZeroSeamGyro,144.2,Low Inside,-0.138,0.812,-19.756,-0.141,0.812,-19.756,0.003,-0.132,0.807,-19.717,-0.152,0.785,-19.730,0.032,Strike_PassedBall,Take
